iter	Passed	Remaining
952	2888	142
953	2890	139
954	2891	136
955	2892	133
956	2894	130
957	2895	126
958	2896	123
959	2898	120
960	2899	117
961	2900	114
962	2901	111
963	2902	108
964	2904	105
965	2905	102
966	2906	99
967	2908	96
968	2909	93
969	2910	90
970	2911	86
971	2912	83
972	2914	80
973	2915	77
974	2916	74
975	2917	71
976	2919	68
977	2920	65
978	2921	62
979	2923	59
980	2925	56
981	2926	53
982	2927	50
983	2929	47
984	2930	44
985	2931	41
986	2933	38
987	2934	35
988	2935	32
989	2937	29
990	2938	26
991	2939	23
992	2941	20
993	2942	17
994	2943	14
995	2945	11
996	2946	8
997	2947	5
998	2948	2
999	2949	0
